* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-06-06 11:43:14 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\AKOUGH.CONSERV-013\Desktop\Sandy_Mermaid\20190605_KP_01.eds
* Experiment Name = 20190605_KP_1
* Experiment Run End Time = 2019-06-05 17:28:50 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	HIGHSD	NOAMP	BADROX	PRFDROP	CTFAIL	Tm1	Tm2	Tm3	Tm4
75	G3	false	SC003	C	UNKNOWN	VIC	NFQ-MGB	25.196	25.196									false	0.010	true	3	24	Amp		0.710	Y	N	N	N	N	N	N	N				
75	G3	false	SC003	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	10	No Amp		0.000	Y	N	N	N	Y	N	N	N				
76	G4	false	SC004	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
76	G4	false	SC004	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N				
77	G5	false	SC005	C	UNKNOWN	VIC	NFQ-MGB	32.356	32.356									false	0.010	true	3	31	Amp		0.679	Y	N	N	N	N	N	N	N				
77	G5	false	SC005	D	UNKNOWN	FAM	NFQ-MGB	23.395	30.883	10.589								false	0.010	true	3	22	Amp		0.725	Y	N	N	Y	N	N	N	N				
78	G6	false	SC006	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
78	G6	false	SC006	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N				
79	G7	false	SC007	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
79	G7	false	SC007	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
80	G8	false	SC008	C	UNKNOWN	VIC	NFQ-MGB	37.131	37.131									false	0.010	true	3	35	Inconclusive		0.356	Y	N	N	N	N	N	N	N				
80	G8	false	SC008	D	UNKNOWN	FAM	NFQ-MGB	27.183	27.183									false	0.010	true	3	25	Amp		0.788	Y	N	N	N	N	N	N	N				
81	G9	false	SC009	C	UNKNOWN	VIC	NFQ-MGB	25.997	26.803	1.141								false	0.010	true	3	25	Amp		0.556	Y	N	N	Y	N	N	N	N				
81	G9	false	SC009	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
82	G10	false	SC010	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	28.641									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
82	G10	false	SC010	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
83	G11	false	NEC1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
83	G11	false	NEC1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
84	G12	false	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
